id;nombre;descripcion;precio;precio_gratis;dispositivo_id
1;yippee whoever tremendously;easily alongside instead;14644.49;11600.02;1
2;whispered welcome provided;hidden invite;13591.43;18655.76;2
3;bite-sized mitigate surprised;unnecessarily;15957.78;13998.53;3
4;furnace during shake;chutney;26366.27;8941.12;4
5;mmm civilize yippee;salt now;22166.95;2912.55;5
6;kindly aw;despite;29670.23;12161.75;6
7;sesame;real since;23185.1;12084.22;7
8;tensely over;anguished worth yahoo;24500.29;11471.83;8
9;knowledgeable;jumble;10108.6;19855.65;9
10;ah;chainstay kindheartedly;32007.76;3841.77;10
