id;nombre;descripcion;precio;precio_gratis
1;bunker;politely;3681.59;31791.86
2;act of sedately;gadzooks;9566.55;9505.59
3;tinker violently;blindly;21970.16;31805.93
4;than necessary sustainment;meh although;31108.67;2982.49
5;upon;supposing misguided plus;13101.25;13458.68
6;forget;whoa worse total;1687.78;27549.01
7;amid seldom;provided busy;29941.75;16456.63
8;brr considering consequently;liar monthly temperature;11438.73;18704.12
9;blogger willfully finally;summons about creolise;20124.62;20138.85
10;flustered;fooey before;19459.66;8708.35
