id;codigo;nombre;descripcion;precio_base;moneda
1;sculpt;yet boohoo;beside valiantly pitiful;1313.69;ARS
2;thoroughly;pro;eviscerate now;20887.84;USD
3;pfft yet;however yet;wherever phew however;11825.97;USD
4;that bump if;portend before yahoo;sternly eek;22227.67;USD
5;gleefully;incidentally through blissfully;although;32404.99;EUR
6;gorgeous;questionably who until;great;26701.91;ARS
7;immediately fulminate intent;inside;cultivated;3873.9;ARS
8;opposite gee inside;phew miter mass;weekly nestling indeed;6613.81;USD
9;athwart provided;nervously briefly when;whether;14903.5;EUR
10;about after;upbeat skyrocket or;hmph;4801.16;USD
