id;codigo;nombre;descripcion;precio_base;moneda
1;redound easily beneath;than lazy;zowie woot peak;10275.5;haunt
2;caramelise numb gadzooks;abaft now;before tune;23255.3;glorious bongo lay
3;generosity;near bah mortally;rapid song as;29226.09;mmm whereas hm
4;indicator astride;exhume;birthday average but;21407.42;notebook violet
5;bowdlerise commonly eek;serpentine reputation cheerfully;expand among;21712.75;whenever fight courageously
6;under;briskly;lash randomization;31772.16;cannulate
7;violently buoy;weight;by bring which;6364.19;cleverly
8;until;mourn;rapid rhythm;17931.79;um
9;sympathetically distinction;where gadzooks actualise;worldly oversimplify highly;30267.7;vivaciously debilitate above
10;ah vanquish;hmph underneath;amongst between even;15730.92;loyal atomise ha
