id;codigo;nombre;descripcion;precio_adicional;personalizacion_id
1;when furthermore yuck;willfully;meaningfully stench;13003.74;1
2;reflecting grand;lest pish compose;brr part;22375.65;2
3;gleefully boohoo compartmentalise;whose sanitise;onto;15399.56;3
4;heap considering;around;smoothly nonstop radiant;4666.79;4
5;detract;who menacing;ew although;2509.25;5
6;zowie;market rigidly;restfully energetically;15817.19;6
7;whoa ape boohoo;indeed;mmm shadowy responsible;14993.03;7
8;oof aha shame;physically limply regarding;breathalyse gadzooks towards;17493.33;8
9;lest psst bait;harbour pro;climate vanquish shameless;28679.54;9
10;sterilise;deliberately gee whoever;skid;11115.33;10
