id;codigo;nombre;descripcion;precio_adicional;personalizacion_id
1;disintegrate really;intermesh;where;13473.07;1
2;ugh variable;damaged;big gracious;4833.6;2
3;meantime;victoriously cruelly softly;arid excrete interject;21898.4;3
4;pleased on;orchard both;anguished by er;9866.92;4
5;slow;courteous;beneath spry;5924.87;5
6;outside;gargantuan tilt;gleefully;6734.64;6
7;slippery hence;amongst until definite;huzzah justly er;26405.17;7
8;exercise pull;finally;phew alphabetise next;4540.74;8
9;pro;shrilly provided now;lawful;9671.42;9
10;bug wild deplore;fete closing;spritz cyclooxygenase;13881.52;10
